1653.935,8423929.598,67391436.786,1332.117,10459015.237,83672121.893
1611.160,8647578.142,69180625.140,1334.014,10444142.265,83553138.123
1606.933,8670325.396,69362603.170,1340.494,10393654.876,83149239.012
1618.128,8610339.850,68882718.796,1330.302,10473285.013,83786280.108
1605.931,8675735.134,69405881.075,1326.745,10501363.864,84010910.914
1613.181,8636744.420,69093955.359,1337.426,10417497.491,83339979.932
1612.276,8641592.382,69132739.060,1341.704,10384281.481,83074251.847
1611.111,8647841.148,69182729.185,1341.035,10389461.871,83115694.967
1621.413,8592895.209,68743161.674,1323.480,10527270.529,84218164.234
1632.608,8533972.638,68271781.101,1371.819,10156319.456,81250555.649
