1712.537,8208619.142,41043095.711,1570.556,8950692.621,44753463.105
1720.778,8169307.139,40846535.695,1581.265,8890074.719,44450373.593
1717.730,8183803.042,40919015.212,1588.047,8852108.281,44260541.407
1719.955,8173216.160,40866080.799,1592.469,8827527.569,44137637.844
1762.934,7973959.320,39869796.600,1638.267,8580752.710,42903763.550
1718.512,8180079.045,40900395.226,1591.548,8832635.899,44163179.496
1757.214,7999915.776,39999578.879,1593.774,8820299.490,44101497.452
1720.915,8168656.790,40843283.951,1576.882,8914785.000,44573924.999
1712.131,8210565.663,41052828.317,1602.119,8774356.961,43871784.805
1717.289,8185904.644,40929523.219,1638.625,8578878.023,42894390.114
